10000 500 2704136
4973 600 9423 5960
4918 548 7163 5954
4962 600 5955 5952
4880 518 5518 5947
4989 638 3513 5946
4995 660 7852 5936
4946 630 4820 5920
4946 635 244 5916
4877 581 9146 5902
4920 656 1042 5883
4868 600 9735 5882
4774 507 2969 5878
4938 697 7941 5869
4775 524 3959 5867
4861 617 5430 5866
4887 649 9703 5863
4892 658 8680 5861
4857 633 745 5852
4961 754 717 5848
4733 511 3159 5846
4784 568 2377 5843
4984 800 4106 5836
4725 517 6810 5836
4873 676 5079 5835
4865 676 6022 5829
4891 725 512 5815
4813 648 2054 5809
4870 711 7925 5809
4712 555 918 5800
4661 507 9655 5798
4886 747 9099 5797
4912 777 4951 5796
4808 668 3576 5792
4797 656 9582 5792
4821 697 8130 5782
4744 621 4898 5778
4751 638 2385 5771
4682 569 538 5769
4890 798 5304 5766
4937 855 1548 5764
4633 526 5052 5764
4989 922 9306 5761
4722 630 7814 5755
4964 905 3702 5753
4851 773 6121 5753
4666 590 5543 5743
4597 521 7151 5742
4983 946 2318 5741
4851 795 8631 5739
4802 742 465 5738
4589 524 3025 5735
4656 608 5354 5723
4587 541 1120 5721
4892 869 2874 5721
4581 535 4408 5721
4548 505 1485 5720
4944 934 6151 5719
4557 516 8108 5718
4665 626 7611 5717
4856 833 9955 5717
4915 911 4013 5711
4819 802 6336 5710
4920 922 1996 5708
4680 656 7635 5707
4681 659 4368 5706
4885 886 1473 5705
4902 918 1145 5697
4684 677 694 5695
4908 929 8433 5694
4852 866 963 5693
4924 957 4211 5689
4966 1011 7908 5687
4734 750 4331 5682
4662 675 7624 5681
4990 1056 6666 5677
4661 684 1330 5674
4889 944 1001 5670
4884 938 3405 5670
4586 619 4358 5665
4846 905 2456 5663
4797 848 6769 5663
4755 803 7953 5662
4743 791 5465 5661
4789 846 1632 5659
4921 999 7701 5659
4800 859 2316 5658
4698 755 5185 5652
4857 941 1966 5648
4647 715 3673 5642
4943 1066 6314 5634
4671 755 7400 5633
4605 685 8946 5633
4479 562 970 5631
4518 605 64 5627
4913 1054 7175 5618
4981 1141 4756 5617
4771 889 6470 5617
4605 709 1588 5616
4977 1147 2541 5610
4709 829 5692 5610
4414 535 504 5605
4945 1115 1476 5605
4850 1001 2971 5604
4603 724 6095 5604
4668 796 2210 5602
4738 874 9863 5602
4417 552 1 5595
4580 715 4835 5594
4590 730 7319 5591
4821 987 9265 5590
4911 1099 4878 5589
4879 1060 5101 5588
4898 1084 6275 5588
4728 886 5941 5586
4355 508 2101 5584
4956 1165 5358 5583
4986 1209 8127 5580
4487 651 952 5573
4996 1233 5784 5573
4679 855 6741 5571
4750 936 4330 5570
4967 1202 1259 5569
4910 1134 623 5566
4547 729 7334 5561
4627 816 7620 5559
4793 1002 8456 5559
4393 583 8027 5556
4377 569 5949 5555
4617 817 147 5551
4955 1215 638 5551
4663 869 9991 5549
4813 1044 8371 5548
4466 667 5890 5547
4428 631 8770 5546
4640 851 2097 5545
4630 840 8730 5545
4935 1206 5234 5541
4532 745 8616 5539
4414 628 1419 5538
4296 516 3093 5538
4449 662 4124 5538
4761 997 8683 5538
4989 1282 9606 5538
4301 522 1700 5537
4618 839 1879 5537
4768 1009 329 5536
4413 631 2786 5535
4335 564 2505 5530
4921 1206 8425 5530
4379 606 1068 5529
4818 1080 1170 5528
4567 803 4716 5524
4705 959 7983 5521
4965 1284 2462 5518
4316 566 2735 5515
4869 1166 6739 5514
4975 1307 9413 5512
4391 643 379 5511
4731 1016 9953 5503
4852 1166 184 5501
4472 737 4899 5501
4255 530 77 5500
4721 1010 4953 5499
4995 1358 4376 5498
4225 509 1968 5496
4537 812 6284 5496
4703 996 2172 5495
4682 973 9799 5494
4516 795 9078 5492
4740 1046 924 5490
4708 1010 5157 5490
4494 778 6729 5488
4453 737 7133 5488
4529 821 190 5484
4391 684 9814 5482
4711 1034 1104 5476
4864 1220 4947 5476
4541 847 4830 5475
4222 538 1270 5472
4563 876 8429 5471
4417 726 6535 5470
4311 627 1352 5467
4666 996 6189 5467
4957 1363 1044 5464
4979 1394 4374 5464
4650 990 5961 5459
4404 730 3827 5458
4219 556 7217 5457
4862 1250 8129 5456
4459 788 8735 5456
4192 534 3330 5455
4971 1397 8162 5455
4847 1236 8789 5453
4350 686 9736 5452
4564 907 7791 5451
4913 1327 7801 5450
4985 1426 9034 5450
4721 1094 2642 5445
4912 1335 5233 5445
4774 1159 1262 5444
4136 500 8554 5444
4135 501 3877 5442
4928 1363 5559 5441
4849 1260 5875 5440
4752 1139 7981 5440
4872 1295 6641 5437
4583 950 1022 5436
4878 1306 8113 5435
4996 1469 6412 5434
4695 1084 7952 5432
4705 1099 6227 5430
4150 530 7903 5430
4490 861 6241 5428
4876 1315 6924 5428
4998 1484 2251 5427
4612 995 3422 5427
4161 544 4918 5427
4426 797 8971 5427
4971 1454 6717 5422
4170 562 4311 5420
4669 1071 9978 5420
4884 1342 3708 5418
4461 846 6102 5418
4276 662 6379 5418
4903 1372 8178 5415
4776 1209 6456 5414
4261 653 9638 5414
4148 552 711 5413
4924 1405 1897 5413
4873 1339 5292 5411
4200 601 8470 5411
4196 598 5859 5410
4671 1098 3939 5404
4259 667 8854 5403
4577 994 786 5402
4662 1098 7910 5397
4558 982 7663 5396
4670 1111 4019 5395
4487 906 9999 5395
4456 876 9399 5393
4068 509 737 5392
4392 812 8999 5392
4610 1062 1157 5381
4870 1390 241 5378
4394 838 1178 5375
4129 586 1210 5375
4958 1519 1086 5374
4841 1358 4305 5374
4887 1420 6225 5374
4626 1094 8677 5373
4076 544 2045 5371
4996 1586 8216 5367
4456 914 9601 5367
4693 1183 3227 5366
4474 934 6961 5366
4401 860 8908 5365
4372 833 8404 5363
4663 1152 8516 5363
4899 1466 3834 5357
4037 529 9184 5357
4343 814 9849 5356
4365 837 6442 5355
4121 611 6106 5351
4897 1473 6626 5351
4260 741 1129 5350
4979 1594 3602 5349
4722 1246 7132 5349
4330 816 3374 5345
4036 545 938 5344
4895 1486 1772 5342
4929 1540 6488 5338
4875 1464 7062 5338
4435 935 3755 5337
4804 1371 6135 5337
4010 533 5178 5336
4131 639 7120 5336
4243 747 506 5334
4457 965 1197 5333
4362 866 4371 5333
4563 1087 5832 5330
4886 1494 9712 5330
4824 1411 871 5329
4360 870 1297 5328
4854 1452 2775 5328
4754 1325 750 5325
4146 678 2182 5318
4315 840 4538 5317
4971 1639 9287 5317
4118 656 7667 5315
4153 689 7537 5314
4152 689 8236 5314
4525 1069 3075 5313
4535 1080 9651 5313
4482 1022 9914 5313
4757 1351 9430 5312
4271 809 7664 5309
4295 833 9542 5308
3985 550 9559 5307
4997 1703 9985 5303
4949 1635 8372 5301
4708 1311 1254 5298
3912 503 1544 5297
4773 1397 7950 5296
4091 662 4133 5293
4543 1123 3319 5291
4242 808 1861 5289
4612 1207 8031 5289
4833 1490 9840 5289
