1000 50 23024
495 58 852 520
475 54 419 511
471 51 791 511
483 70 990 503
480 80 39 493
445 58 424 491
433 58 348 485
430 57 857 484
495 106 176 483
485 103 356 478
477 99 248 476
487 111 918 474
420 66 241 471
425 73 181 468
489 120 531 468
430 76 612 468
495 130 878 465
420 78 282 461
404 68 564 461
486 131 274 458
379 58 572 458
484 129 829 458
398 69 754 457
413 79 657 456
416 82 350 455
368 57 766 455
497 147 326 454
413 82 623 454
423 89 108 453
435 98 746 452
482 137 935 451
458 118 199 450
458 118 232 450
487 145 397 448
438 107 102 447
409 91 216 444
474 139 655 444
431 106 124 443
399 86 306 443
460 130 127 442
442 116 595 442
395 86 720 441
431 109 789 441
414 99 624 440
489 160 628 439
410 99 191 438
476 152 909 436
420 108 55 435
401 97 758 435
295 52 863 434
494 174 396 433
423 115 388 431
469 152 787 431
390 95 794 431
379 90 971 430
393 100 156 428
369 87 398 428
96 50 800 428
450 139 869 428
480 168 130 427
458 148 815 427
414 114 908 427
100 51 468 426
282 57 549 426
376 93 592 426
382 97 818 425
58 63 708 424
119 50 757 424
377 97 61 423
393 106 575 423
429 130 780 423
124 50 898 423
404 114 319 422
330 76 590 422
112 53 958 422
459 157 148 421
483 180 308 421
422 127 386 421
329 77 418 421
356 89 687 421
62 65 816 421
127 53 83 420
396 111 322 420
300 68 452 420
409 122 537 418
402 118 730 417
91 63 67 416
424 135 85 416
76 67 204 416
285 68 485 416
486 190 731 416
453 159 312 415
151 56 404 415
467 172 784 415
170 56 466 414
469 176 828 414
404 125 812 412
73 73 860 411
432 148 23 410
309 82 174 410
227 63 870 410
244 65 910 410
232 65 126 409
464 177 131 409
490 206 669 409
118 65 811 409
391 121 1000 409
103 69 438 408
53 83 351 407
469 185 501 407
408 135 77 406
169 64 804 406
389 123 862 406
291 80 899 406
282 79 301 405
345 103 434 403
225 70 587 403
432 157 662 403
384 124 734 403
436 160 851 403
262 76 867 403
403 137 235 402
485 211 933 402
497 227 786 401
408 141 841 401
57 89 272 400
146 71 303 400
372 120 469 400
268 80 563 400
293 87 710 400
429 159 765 400
51 91 843 400
239 75 931 400
374 123 663 399
400 139 895 399
408 145 842 398
261 83 163 396
266 85 521 395
250 82 926 395
165 76 182 394
448 184 90 393
356 120 499 393
270 89 591 392
263 87 916 392
300 98 110 391
497 244 307 391
489 233 835 391
413 157 979 391
388 141 625 390
114 85 693 390
195 81 160 389
313 105 178 389
143 84 6 388
168 82 95 388
482 229 480 388
259 92 179 387
387 144 362 387
197 84 34 386
355 127 698 386
356 127 879 386
119 90 119 385
80 98 629 385
427 176 665 385
105 92 866 385
73 102 65 383
473 226 158 383
241 92 166 383
454 205 658 383
312 111 952 383
119 93 408 382
242 94 938 381
219 92 723 380
406 167 737 379
364 141 699 378
492 260 905 378
167 93 290 377
185 93 461 377
66 110 795 377
300 114 207 376
339 130 546 376
449 210 558 376
444 204 704 376
227 98 106 375
499 276 297 375
457 219 503 375
393 163 820 375
345 135 832 374
53 117 976 374
263 107 69 373
300 117 147 373
262 107 667 373
403 173 896 373
170 98 336 372
347 139 426 372
419 187 491 372
349 140 847 372
298 118 885 372
247 104 993 372
72 114 269 371
441 208 520 371
447 214 956 371
464 236 24 370
421 191 188 370
379 159 273 370
355 145 279 370
382 161 381 370
417 187 707 370
238 105 985 370
379 160 317 369
323 131 368 369
431 203 169 368
386 169 195 366
86 116 959 366
459 239 346 364
166 106 530 364
150 110 476 361
135 112 574 361
205 110 785 361
477 270 209 360
397 184 545 360
174 110 850 360
453 240 295 359
100 120 394 359
57 132 605 359
144 113 845 359
81 125 63 358
457 246 105 358
316 140 554 358
495 304 597 358
74 129 253 357
386 180 345 357
269 126 983 356
185 115 284 355
483 288 585 355
471 269 692 355
74 132 318 354
485 293 473 354
94 126 689 354
331 151 911 354
377 179 3 353
81 131 887 353
339 157 238 352
212 120 339 352
466 267 411 352
75 134 26 351
283 135 376 351
459 260 997 351
231 124 115 350
117 126 149 349
497 328 360 349
241 127 453 349
258 130 527 349
432 231 671 349
444 245 325 348
335 159 609 348
67 140 621 348
214 124 711 348
453 259 109 347
349 169 333 346
382 190 490 346
169 124 553 346
297 145 675 346
276 138 732 346
307 149 777 346
121 130 212 345
428 232 596 345
347 169 930 345
388 197 477 344
51 151 1 343
481 310 73 343
318 157 194 343
467 285 441 343
314 155 833 343
474 296 859 343
297 148 987 343
189 128 514 342
480 311 138 341
98 139 660 341
175 130 226 340
82 144 304 340
464 288 170 339
174 131 354 339
492 342 561 339
79 147 483 338
471 302 721 338
92 143 834 338
340 175 50 337
228 137 338 337
484 329 619 337
489 340 830 337
489 341 881 337
149 135 223 336
387 207 384 336
312 163 203 335
499 375 287 335
357 187 291 335
407 225 316 335
174 135 600 335
204 137 145 334
217 138 428 334
412 231 578 334
206 138 328 333
291 157 925 333
320 170 349 332
470 311 352 332
483 339 436 332
105 146 492 332
353 188 532 332
133 141 630 332
350 186 883 332
442 268 974 332
384 211 735 331
403 227 901 331
310 166 944 331
438 266 602 330
275 155 672 330
415 242 154 329
341 184 402 329
251 150 390 328
138 144 736 328
268 155 831 328
76 158 998 328
249 151 46 327
165 143 173 327
108 152 421 326
76 160 445 326
372 208 488 326
395 227 861 326
489 372 986 326
447 287 25 325
419 255 642 323
480 356 759 323
260 158 928 323
396 233 676 322
499 493 957 322
325 185 504 321
165 150 475 320
354 203 646 320
230 154 753 320
124 156 359 319
351 202 525 319
341 197 342 318
269 165 534 318
294 174 802 318
152 153 940 318
449 306 234 317
254 162 544 317
201 154 582 317
326 190 982 317
65 175 903 316
165 155 37 315
231 159 214 315
317 187 443 315
461 335 71 314
297 179 180 314
307 184 255 314
434 290 233 313
214 159 446 313
225 162 247 312
487 428 389 312
489 446 423 312
490 468 645 312
488 431 727 312
403 255 201 311
466 353 249 311
277 175 647 311
479 393 748 311
219 162 924 311
269 174 240 310
349 211 517 310
317 193 756 310
486 443 607 309
469 370 183 308
486 475 562 308
238 168 670 308
283 182 761 307
294 187 296 306
452 334 868 306
296 189 762 305
469 379 774 305
438 312 292 304
115 173 417 304
308 195 783 304
77 184 839 303
448 334 10 302
165 168 246 302
480 479 335 302
114 175 494 302
431 305 519 302
268 182 809 302
445 332 286 301
309 199 588 301
447 336 673 301
123 174 882 301
396 264 122 300
476 438 220 300
454 352 741 300
477 473 14 299
324 209 278 299
430 310 817 299
475 433 972 299
476 480 451 298
251 182 652 297
140 175 936 297
148 176 98 296
470 422 580 296
107 184 21 295
238 181 198 295
426 311 230 295
130 179 450 295
93 189 56 294
421 305 509 294
407 286 568 294
304 205 252 293
381 259 749 293
275 194 947 293
317 213 601 292
185 178 838 292
418 303 892 292
263 192 370 291
159 180 702 291
321 217 969 291
414 299 978 291
169 181 633 289
413 303 112 288
449 373 245 288
106 192 91 287
150 184 113 287
464 451 227 287
118 189 571 287
184 185 464 285
381 270 729 285
453 397 836 285
445 372 268 284
459 430 463 284
395 287 498 284
372 262 686 284
461 486 218 283
303 216 414 283
404 300 471 283
