10000 500 2334271
4895 502 3050 5241
4958 611 4561 5198
4895 583 3764 5179
4870 564 6277 5177
4905 611 8522 5164
4858 573 8122 5163
4905 631 5534 5149
4995 720 3425 5141
4977 709 4633 5137
4784 548 5320 5136
4921 671 5484 5129
4727 533 4781 5112
4998 768 4985 5107
4887 670 9802 5107
4892 679 155 5104
4721 540 4126 5103
4705 530 7752 5101
4970 755 6271 5098
4785 598 4824 5097
4919 716 836 5093
4693 530 7056 5093
4887 698 224 5086
4690 545 8634 5080
4716 570 6644 5076
5000 813 7322 5075
4890 716 4818 5074
4633 509 8995 5074
4988 808 6216 5070
4745 605 6280 5067
4621 517 2180 5060
4750 618 2646 5060
4777 641 1367 5059
4829 702 8989 5045
4605 525 8295 5044
4980 846 8194 5037
4705 614 5807 5035
4625 551 8943 5035
4776 673 6369 5034
4634 559 8480 5034
4764 682 8475 5019
4692 628 6130 5016
4781 703 1933 5014
4776 701 7797 5012
4794 725 742 5005
4729 673 9675 5004
4820 750 1952 5003
4543 533 683 5001
4669 629 4074 5001
4890 820 7518 4996
4717 674 6684 4995
4966 893 1429 4993
4564 558 6989 4993
4781 731 2309 4992
4779 735 7412 4988
4474 506 8085 4982
4995 939 2711 4979
4540 559 4157 4978
4493 524 5683 4978
4457 507 1360 4971
4508 545 3297 4970
4494 548 6987 4959
4521 570 9685 4958
4845 836 9353 4954
4848 841 1161 4952
4694 712 5006 4951
4860 857 8500 4948
4486 560 6593 4945
4987 984 1718 4941
4921 924 5285 4940
4659 705 9591 4935
4820 841 4514 4934
4601 661 8330 4934
4656 712 5634 4928
4861 886 507 4927
4669 725 1572 4926
4868 894 7165 4926
4961 981 4470 4925
4852 887 7957 4921
4584 668 1031 4918
4634 713 8109 4913
4503 614 1840 4912
4596 693 3770 4905
4909 960 5944 4905
4716 791 4877 4904
4856 915 4317 4903
4560 670 1201 4901
4895 955 1879 4899
4429 577 3188 4898
4885 949 1821 4897
4893 958 4328 4896
4775 855 9012 4894
4871 941 9569 4893
4775 860 1610 4890
4418 582 9171 4887
4594 716 530 4886
4922 998 7434 4886
4942 1018 2524 4885
4631 748 8503 4884
4291 501 4945 4882
4524 670 7545 4879
4703 816 6598 4877
4983 1072 7612 4875
4432 609 1302 4874
4581 721 8981 4874
4578 720 1996 4873
4708 830 7370 4869
4310 529 8513 4869
4831 943 114 4865
4399 596 5962 4865
4875 986 2596 4863
4355 568 6492 4862
4742 868 7528 4862
4535 704 5065 4859
4486 668 1267 4858
4573 741 1287 4853
4495 688 7588 4848
4257 530 5103 4839
4540 736 9760 4837
4348 599 1611 4833
4402 639 2123 4832
4691 869 777 4829
4879 1038 2249 4828
4915 1075 5274 4826
4701 886 8282 4822
4986 1154 2564 4819
4877 1050 7792 4818
4673 872 4063 4815
4260 561 9328 4815
4226 539 4698 4814
4259 562 388 4813
4461 709 73 4810
4855 1040 9863 4810
4959 1141 1909 4809
4609 827 2942 4809
4569 794 6799 4809
4885 1069 9940 4809
4657 868 229 4808
4819 1011 6496 4807
4592 816 9115 4806
4800 1001 6611 4801
4848 1053 5831 4795
4299 614 4321 4793
4390 682 1215 4790
5000 1210 1568 4790
4892 1104 1770 4789
4285 610 1408 4788
4191 547 2096 4788
4578 837 1714 4781
4969 1195 5197 4778
4973 1202 7225 4776
4699 947 2550 4775
4876 1109 927 4774
4980 1213 7287 4773
4828 1066 517 4772
4769 1012 6676 4772
4383 705 6835 4767
4648 917 6229 4764
4461 771 1710 4761
4638 915 6609 4759
4799 1058 1292 4758
4886 1145 5114 4755
4065 508 6239 4754
4370 714 4736 4752
4959 1225 9766 4750
4542 852 3911 4747
4180 594 2383 4743
4702 994 3844 4741
4625 931 1462 4739
4350 718 2952 4737
4337 713 772 4734
4914 1205 271 4732
4770 1068 8421 4731
4552 883 7905 4729
4302 695 1091 4728
4523 865 2273 4725
4423 788 407 4724
4417 784 4558 4724
4125 582 7995 4723
4829 1139 4672 4720
4191 632 7143 4717
4976 1290 7173 4717
4981 1296 721 4716
4856 1177 8400 4711
4113 589 5317 4710
4842 1167 528 4709
4724 1057 2820 4709
4557 915 7951 4708
