1000 50 23089
53 492 525 506
50 457 1 492
67 488 589 492
59 465 749 488
74 482 67 483
53 437 648 481
73 468 320 477
58 440 640 477
56 433 94 476
69 458 867 476
63 445 110 475
67 454 367 475
78 473 798 475
78 474 998 475
52 52 359 474
59 430 776 472
88 482 145 471
53 413 799 471
58 53 720 468
55 62 483 467
85 461 336 463
74 438 775 462
79 443 8 460
58 396 744 460
99 478 923 460
59 75 982 459
64 403 888 457
67 65 511 455
70 61 594 454
64 74 968 454
56 103 119 453
63 80 144 453
76 53 673 451
102 464 197 450
60 100 443 450
63 90 933 450
56 113 990 450
51 136 599 449
59 107 855 449
59 117 323 446
79 61 554 445
82 416 945 445
84 54 506 444
83 55 966 444
69 375 432 443
54 318 755 443
57 333 860 443
110 463 335 442
67 365 608 442
109 460 616 442
50 205 703 440
117 468 175 439
64 127 476 439
139 500 586 439
69 106 670 439
70 362 382 438
59 312 40 437
99 433 600 437
56 178 954 437
54 204 802 436
74 369 843 436
94 53 346 435
54 226 373 435
58 290 76 434
144 499 160 434
55 225 540 434
93 410 37 433
139 490 156 433
98 420 162 433
58 199 417 433
62 306 569 433
80 94 653 433
66 327 988 433
94 409 374 432
58 204 466 432
74 352 412 431
63 291 99 430
129 471 222 430
62 184 354 430
134 478 602 430
73 132 10 429
98 412 278 429
74 342 902 429
65 293 303 428
67 165 372 428
106 425 743 428
77 352 905 428
96 401 407 427
76 342 440 427
89 87 684 427
71 321 702 427
67 294 542 426
64 256 661 426
96 398 679 425
111 428 274 424
79 344 453 424
80 343 305 423
90 375 531 423
86 108 628 423
72 298 748 422
69 266 816 421
104 66 24 420
84 347 371 420
135 461 889 420
103 69 961 420
86 120 294 419
84 344 344 419
100 392 993 419
84 335 5 417
76 282 625 416
93 361 638 416
91 115 770 416
73 243 779 416
79 298 522 415
80 304 596 415
78 295 618 415
168 498 809 415
83 316 98 414
167 495 811 414
146 465 233 413
91 126 441 413
77 250 551 412
99 101 874 412
80 191 275 411
162 484 547 411
86 309 215 410
172 495 436 410
92 142 2 408
106 370 128 406
94 327 885 406
105 106 349 405
88 179 351 405
92 155 921 405
122 65 193 404
104 356 253 404
86 213 376 404
133 425 813 404
91 171 82 403
153 457 996 403
146 442 331 401
88 249 456 401
107 356 571 401
106 354 949 401
169 477 962 401
90 243 333 399
111 360 328 398
104 333 243 397
93 212 899 397
92 231 903 397
92 243 950 397
127 75 50 396
175 477 236 396
132 64 366 396
107 132 535 396
93 216 919 396
94 240 71 395
96 277 370 395
94 233 774 395
126 84 434 393
99 189 477 393
173 468 824 393
114 348 52 392
118 116 58 390
99 222 403 390
99 244 463 390
121 108 23 389
110 150 989 388
129 96 614 386
104 267 818 386
107 281 72 385
107 188 279 385
111 160 329 385
188 475 345 385
107 271 284 384
112 164 352 384
141 397 782 384
203 490 115 383
117 325 185 383
126 353 12 382
156 423 826 382
129 111 171 381
126 118 545 381
114 174 51 380
155 417 801 380
166 436 909 380
118 164 177 378
141 88 454 378
200 479 607 378
119 306 404 377
125 334 521 377
141 93 161 376
128 130 207 376
152 69 315 376
148 393 574 376
165 425 706 376
134 112 931 376
185 455 102 375
160 415 694 375
118 185 112 374
121 296 314 373
134 348 926 373
122 172 140 372
119 196 489 372
163 414 620 372
122 278 143 370
193 456 26 369
125 176 95 369
142 357 264 368
121 218 549 368
122 247 420 367
186 442 445 367
139 124 812 367
122 248 944 367
153 379 353 366
173 52 715 365
128 286 763 365
125 262 917 365
129 296 938 365
145 350 47 363
134 309 642 363
199 453 900 363
177 419 913 362
163 391 532 361
149 113 584 361
149 113 721 361
128 235 791 361
153 368 841 361
139 322 951 361
140 324 289 360
131 196 509 360
130 204 793 360
175 58 795 360
133 186 494 359
151 114 728 359
134 181 832 359
207 454 714 357
159 368 330 356
214 461 431 356
166 384 754 356
140 292 526 354
143 161 751 354
152 125 886 354
137 277 943 354
136 251 536 353
140 183 676 353
186 55 391 352
139 195 972 352
184 408 65 351
141 268 348 350
142 189 425 350
167 98 976 350
190 415 428 349
175 383 533 347
171 96 548 347
233 469 725 347
191 412 789 347
156 138 912 347
144 207 203 346
179 386 462 345
145 214 480 345
150 299 590 345
149 181 113 344
183 392 414 344
191 407 442 344
160 133 901 344
190 64 907 344
155 311 307 343
174 99 488 343
148 260 176 342
157 315 777 342
160 319 195 340
149 238 266 340
150 219 178 339
244 469 858 339
217 436 225 338
184 381 368 338
232 455 664 338
155 185 831 338
152 228 752 337
177 363 790 337
155 187 946 337
163 317 322 336
207 417 553 336
163 157 282 335
157 192 690 335
154 220 700 335
179 107 847 335
158 186 870 335
158 284 979 335
155 224 135 334
157 273 291 334
207 414 369 334
199 70 472 334
158 201 151 333
201 67 318 333
180 112 510 333
158 274 975 333
268 483 408 332
209 57 448 332
164 169 485 332
199 73 528 332
287 499 845 332
159 256 312 331
163 294 396 331
171 328 634 331
164 180 245 330
194 87 255 330
211 412 735 330
162 271 358 329
167 169 550 329
163 278 740 329
284 491 88 328
170 159 149 328
174 325 492 328
199 82 797 328
188 106 204 327
165 194 500 327
170 164 872 327
167 288 231 326
166 269 69 325
164 245 678 325
250 454 539 324
226 423 487 323
198 97 18 322
172 292 91 322
170 194 557 322
170 279 915 322
173 176 73 321
168 220 562 321
268 468 880 321
170 216 53 320
173 182 446 320
198 369 503 320
187 129 645 320
173 185 649 320
170 220 339 319
178 165 384 319
170 229 541 319
181 314 111 318
189 129 707 318
182 312 7 317
183 317 121 317
194 118 383 317
202 370 805 317
225 59 911 317
172 246 959 317
174 262 224 316
177 188 631 316
242 432 697 316
177 279 564 315
176 213 27 314
181 175 212 314
212 382 377 314
188 146 397 314
282 470 190 313
188 320 355 313
180 185 835 313
186 313 857 313
303 487 869 313
183 297 117 312
203 359 527 312
199 119 828 312
246 429 31 311
285 470 103 311
203 112 209 311
182 287 293 311
186 303 410 311
181 195 652 311
254 438 875 311
180 229 29 309
201 347 205 309
181 262 270 309
182 203 444 309
200 344 567 309
219 386 732 309
199 342 878 309
192 321 908 309
199 339 580 308
235 409 605 308
215 94 963 308
208 359 421 307
191 163 433 307
218 90 610 307
213 370 681 307
188 182 666 306
208 355 762 306
305 479 853 306
219 377 70 305
186 269 280 305
263 438 20 304
294 468 719 304
245 413 575 302
335 494 392 301
248 57 93 300
191 204 133 300
329 489 338 300
311 476 517 300
220 368 636 300
189 226 639 300
192 196 808 300
192 194 823 300
332 491 879 300
339 494 241 299
197 169 327 299
194 282 701 299
226 376 512 298
194 192 764 298
257 420 379 297
236 84 920 295
330 483 1000 295
307 466 191 294
359 498 423 293
202 175 604 293
200 277 62 292
200 191 164 292
340 486 490 292
294 453 519 292
205 302 543 292
199 203 657 292
242 391 848 292
224 118 529 290
352 489 108 289
216 142 864 288
202 239 77 287
231 359 139 286
224 342 297 286
203 240 381 286
204 211 637 286
236 366 650 285
267 413 682 285
314 460 741 285
317 461 79 284
241 96 437 284
268 411 118 283
307 452 265 283
264 407 356 283
322 463 784 283
241 369 598 282
371 491 691 282
255 390 981 281
323 460 3 280
213 190 84 280
227 135 504 280
249 380 659 280
223 150 261 279
210 231 508 279
380 492 561 279
227 138 726 279
225 321 409 278
263 395 502 277
225 152 910 277
218 285 340 276
213 219 669 276
215 211 85 275
326 456 92 275
281 415 216 275
222 300 418 275
219 287 941 275
217 266 301 274
235 337 378 274
379 486 459 274
217 266 471 274
270 72 194 273
216 231 385 273
269 397 633 273
268 75 723 273
244 353 267 272
220 272 478 272
217 238 730 272
249 362 803 272
221 284 973 272
364 476 114 271
219 216 386 271
223 283 630 270
240 336 16 269
272 394 68 269
225 185 153 269
359 470 565 269
236 325 846 269
228 170 873 269
260 95 220 268
228 174 481 268
280 68 674 268
262 94 4 267
418 492 895 267
228 185 138 266
414 490 457 266
382 478 579 266
233 164 772 266
223 251 974 266
236 314 474 265
289 61 566 265
286 406 927 265
291 410 218 264
303 422 413 264
346 457 501 264
289 62 573 264
226 263 731 264
228 266 137 263
242 326 234 263
270 381 572 263
239 154 717 263
465 497 766 263
279 394 861 263
226 219 960 263
259 360 388 262
344 453 672 262
365 465 560 261
324 437 773 261
411 483 252 260
322 434 343 260
427 488 406 260
245 146 693 260
272 376 238 259
314 426 576 259
235 286 582 259
233 273 641 259
244 152 849 259
293 65 928 259
238 293 30 258
235 190 257 258
232 260 482 258
278 384 939 258
232 226 729 257
247 150 163 256
235 217 196 255
236 203 852 255
290 76 856 255
453 486 122 254
237 265 219 254
262 123 158 253
295 398 192 253
365 456 876 253
241 281 104 252
237 245 578 252
242 187 606 252
270 112 182 251
238 249 262 251
269 114 319 251
259 335 780 251
282 376 311 250
310 410 722 250
252 316 736 250
246 292 820 250
304 68 558 249
324 422 836 249
241 228 174 248
249 173 316 248
241 248 402 248
482 483 438 248
269 120 716 248
427 474 202 247
244 268 310 247
243 254 523 247
474 482 538 247
251 301 942 247
288 94 460 246
422 472 738 246
450 478 850 246
394 461 21 245
491 479 169 244
325 54 232 244
330 50 342 244
282 105 656 244
261 151 32 243
318 407 86 243
423 469 499 243
276 352 986 243
259 309 271 242
292 375 671 242
407 461 390 240
307 79 486 240
355 434 985 240
256 289 906 239
261 162 964 239
478 473 180 238
324 63 237 238
428 465 493 238
285 357 587 238
270 329 863 238
441 467 473 237
476 472 559 237
253 220 188 236
480 471 200 236
258 188 228 236
254 216 296 236
382 445 306 236
349 425 609 236
279 343 971 236
401 453 33 235
260 184 186 235
255 225 166 234
332 62 658 234
295 105 724 234
274 142 947 234
263 293 148 233
257 209 295 233
260 190 309 233
272 319 806 233
353 423 66 232
259 265 552 232
261 193 955 232
307 378 38 231
413 453 595 231
478 466 817 231
285 128 451 230
275 319 916 230
285 130 43 229
272 163 173 229
267 180 932 229
322 78 965 229
277 153 254 227
452 459 708 227
284 138 807 227
347 409 415 225
269 283 627 225
340 66 643 225
274 168 800 225
291 128 838 225
358 417 742 224
330 80 263 222
299 123 126 221
334 79 247 220
295 338 292 220
284 155 461 220
308 110 868 220
277 285 765 218
282 171 120 217
318 368 399 217
294 328 268 216
377 420 313 216
351 401 581 216
476 451 711 216
289 317 840 216
291 152 189 215
275 240 350 214
324 98 778 214
354 400 56 213
287 168 833 213
290 307 464 212
461 444 181 211
388 50 244 211
378 415 300 211
499 446 593 211
302 331 49 210
281 207 63 210
289 172 235 210
342 385 299 210
319 111 317 210
316 354 395 210
387 52 419 210
282 268 884 210
371 63 15 209
283 271 39 209
446 440 756 209
440 438 854 209
376 60 211 208
356 395 475 208
332 98 984 208
356 77 136 207
312 343 273 207
296 311 286 207
354 392 537 207
283 220 654 207
420 430 680 207
370 66 844 207
312 130 894 206
357 393 924 206
477 440 259 205
305 145 426 205
448 436 814 205
383 60 977 205
392 56 172 204
337 99 646 204
289 193 887 204
288 209 217 203
301 311 651 203
294 293 712 203
462 434 6 201
388 61 157 201
429 427 534 201
368 394 496 200
446 430 733 200
481 434 281 199
304 308 622 199
301 298 100 198
291 228 105 198
338 363 727 198
291 227 940 198
476 432 14 197
325 126 134 197
406 56 334 197
318 332 698 197
294 265 893 197
419 51 934 197
297 275 470 196
348 99 821 196
447 425 341 195
406 59 588 195
326 128 948 195
380 74 251 194
390 68 304 194
362 381 662 194
299 198 667 194
330 343 132 192
394 69 183 191
327 334 663 190
308 177 925 190
380 390 36 189
413 62 458 189
489 424 713 189
361 374 958 189
308 287 42 188
301 238 401 188
385 80 922 187
353 108 25 186
388 391 87 186
341 348 398 186
334 337 781 186
394 395 935 186
326 147 213 185
455 417 757 185
